what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1318280527117
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1318280527791
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318280528370
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318280539993
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1318280541199
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1318280541387
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1318280541716
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318280542171
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318280543298
activated,view,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.views.AntView",1318280545695
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1318280554420
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1318280570209
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318280572324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318280605266
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318280608336
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318280609417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318280609714
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318281327235
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318281328519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318283467957
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1318283470458
activated,editor,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.internal.editor.AntEditor",1318283471058
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318283476403
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318283480412
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318283483153
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318283485672
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318283487916
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318283490418
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318283494838
activated,view,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.views.AntView",1318283496551
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1318283498864
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318283517555
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318283574931
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318283587318
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318283588484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318283661642
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318283663958
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318283664687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318283665982
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318283691566
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318283692862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318283692862
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318283692959
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318283696813
